id_cliente,genero,idoso,casado,possui_dependentes,tempo_como_cliente,servico_telefone,servico_internet,servico_seguranca,suporte_tecnico,streaming,tipo_contrato,metodo_pagamento,pagamento_mensal,total_pago,churn
7590-vhveg,female,False,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,29.85,29.85,no
5575-gnvde,male,False,True,True,34,True,dsl,True,no,True,one year,mailed check,56.95,1889.5,no
3668-qpybk,male,False,True,True,2,True,dsl,True,no,True,month-to-month,mailed check,53.85,108.15,yes
7795-cfocw,male,False,True,True,45,True,dsl,True,yes,True,one year,bank transfer (automatic),71.45,1840.75,no
9237-hqitu,male,False,True,True,2,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,151.65,yes
9763-grskd,male,False,True,True,13,True,dsl,True,no,True,month-to-month,mailed check,71.45,587.45,no
7469-lkbci,male,False,True,True,16,True,no,True,no internet service,True,two year,credit card (automatic),71.45,326.8,no
8091-ttvax,male,False,True,True,58,True,fiber optic,True,no,True,one year,credit card (automatic),71.45,5681.1,no
0280-xjgex,male,False,True,True,49,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,5036.3,yes
5129-jlpis,male,False,True,True,25,True,fiber optic,True,yes,True,month-to-month,electronic check,71.45,2686.05,no
3655-snqyz,male,False,True,True,69,True,fiber optic,True,yes,True,two year,credit card (automatic),71.45,7895.15,no
8191-xwszg,f,False,True,True,52,True,no,True,no internet service,True,one year,mailed check,71.45,1022.95,no
9959-wofkt,male,False,True,True,71,True,fiber optic,True,no,True,two year,bank transfer (automatic),71.45,7382.25,no
4190-mfluw,f,False,True,True,10,True,dsl,True,yes,True,month-to-month,credit card (automatic),71.45,528.35,yes
4183-myfrb,f,False,True,True,21,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1862.9,no
8779-qrdmv,male,True,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,39.65,yes
1680-vdcww,male,False,True,True,12,True,no,True,no internet service,True,one year,bank transfer (automatic),71.45,202.25,no
1066-jksgk,male,False,True,True,1,True,no,True,no internet service,True,month-to-month,mailed check,71.45,20.15,yes
3638-weabw,female,False,True,True,58,True,dsl,True,yes,True,two year,credit card (automatic),71.45,3505.1,no
6322-hrpfa,male,False,True,True,49,True,dsl,True,yes,True,month-to-month,credit card (automatic),71.45,2970.3,no
6865-jznko,female,False,True,True,30,True,dsl,True,no,True,month-to-month,bank transfer (automatic),71.45,1530.6,no
6467-chfzw,m,False,True,True,47,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,4749.15,yes
8665-utdhz,m,False,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,30.2,yes
